Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Bolivia,17/11/2024,1212156,0,22387,0,Lower middle income,Region of the Americas,12079472,,100348.4258,1853.309482,0,0,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Caribbean Netherlands,17/11/2024,11922,,41,,,Region of the Americas,26706,,446416.5356,1535.235528,,,18263911,105690,0,0,,,,,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Bosnia & Herzegovina,17/11/2024,403979,0,16403,0,Upper middle income,European Region,3270943,,123505.3622,5014.761798,0,0,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Botswana,17/11/2024,330696,,2801,,Upper middle income,African Region,2588423,,127759.6436,1082.126067,,,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,9045325,174423,0,0,7779.867385,150.0209013,0,0
Brazil,17/11/2024,37511921,,702116,,Upper middle income,Region of the Americas,214326223,,175022.545,3275.922051,,,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
British Virgin Islands,17/11/2024,7628,,64,,High income,Region of the Americas,31122,,245099.9293,2056.423109,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Brunei,17/11/2024,349517,74,181,0,High income,Western Pacific Region,445373,,784773.6616,406.4009269,166.1528651,0,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,208587244,421594,1540,9,108395.926,219.088527,0.800287318,0.004677004
Bulgaria,17/11/2024,1338510,183,38762,3,High income,European Region,6885868,,194385.0797,5629.210435,26.57617021,0.435674921,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Burkina Faso,17/11/2024,22155,,400,,Low income,African Region,22100683,,1002.457707,18.09898816,,,1944457,43529,0,0,2707.195641,60.60381847,0,0,9045325,174423,0,0,7779.867385,150.0209013,0,0
Burundi,17/11/2024,54569,,15,,Low income,African Region,12551213,,4347.707269,1.195103613,,,1944457,43529,0,0,2707.195641,60.60381847,0,0,9045325,174423,0,0,7779.867385,150.0209013,0,0
Cape Verde,17/11/2024,64474,,417,,Lower middle income,African Region,587925,,109663.6476,709.2741421,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,9045325,174423,0,0,7779.867385,150.0209013,0,0
Cambodia,17/11/2024,139325,,3056,,Lower middle income,Western Pacific Region,16589023,,8398.626007,184.2182026,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,208587244,421594,1540,9,108395.926,219.088527,0.800287318,0.004677004
Cameroon,17/11/2024,125279,,1974,,Lower middle income,African Region,27198628,,4606.077924,72.57719029,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,9045325,174423,0,0,7779.867385,150.0209013,0,0
Canada,17/11/2024,4819055,,55282,,High income,Region of the Americas,38155012,,126302.0177,1448.879114,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Cayman Islands,17/11/2024,31472,,37,,High income,Region of the Americas,68136,,461899.73,543.0315839,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Central African Republic,17/11/2024,15443,,113,,Low income,African Region,5457154,,2829.863332,20.706764,,,1944457,43529,0,0,2707.195641,60.60381847,0,0,9045325,174423,0,0,7779.867385,150.0209013,0,0
Chad,17/11/2024,7702,,194,,Low income,African Region,17179740,,448.3187755,11.29237113,,,1944457,43529,0,0,2707.195641,60.60381847,0,0,9045325,174423,0,0,7779.867385,150.0209013,0,0
Chile,17/11/2024,5405659,921,62797,3,High income,Region of the Americas,19493184,,277310.2126,3221.485007,47.24728397,0.153899948,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
China,17/11/2024,99381233,44,122377,2,Upper middle income,Western Pacific Region,1425893465,,69697.51629,85.82478495,0.030857845,0.001402629,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,208587244,421594,1540,9,108395.926,219.088527,0.800287318,0.004677004
Colombia,17/11/2024,6394508,42,142727,0,Upper middle income,Region of the Americas,51516562,,124125.2862,2770.507085,0.815271796,0,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Comoros,17/11/2024,9109,,160,,Lower middle income,African Region,821625,,11086.56626,194.7360414,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,9045325,174423,0,0,7779.867385,150.0209013,0,0
Congo - Brazzaville,17/11/2024,25234,,389,,Lower middle income,African Region,5835806,,4323.995691,66.65745914,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,9045325,174423,0,0,7779.867385,150.0209013,0,0
Cook Islands,17/11/2024,7375,,2,,,Western Pacific Region,17003,,433746.9858,117.6263012,,,18263911,105690,0,0,,,,,208587244,421594,1540,9,108395.926,219.088527,0.800287318,0.004677004
Costa Rica,17/11/2024,1235775,14,9374,0,Upper middle income,Region of the Americas,5153957,,239772.0819,1818.796703,2.716359488,0,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Côte d’Ivoire,17/11/2024,88454,,835,,Lower middle income,African Region,27478249,,3219.055188,30.38767135,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,9045325,174423,0,0,7779.867385,150.0209013,0,0
Croatia,17/11/2024,1350687,586,18777,0,High income,European Region,4060135,,332670.4654,4624.72307,144.3301762,0,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Cuba,17/11/2024,1113662,,8530,,Upper middle income,Region of the Americas,11256372,,98936.14035,757.7930083,,,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Cura�ao,17/11/2024,45883,,305,,,Region of the Americas,,,,,,,18263911,105690,0,0,,,,,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Cyprus,17/11/2024,708871,80,1497,0,High income,European Region,1244188,,569745.8905,1203.194373,64.29896447,0,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Czechia,17/11/2024,4818090,1785,43723,5,High income,European Region,10510751,,458396.3601,4159.835962,169.8261142,0.475703401,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
North Korea,17/11/2024,0,,0,,Low income,South-East Asia Region,25971909,,0,0,,,1944457,43529,0,0,2707.195641,60.60381847,0,0,61323334,808857,622,2,29819.66848,393.322509,0.302459644,0.000972539
Congo - Kinshasa,17/11/2024,100980,,1474,,Low income,African Region,95894118,,1053.036433,15.37112005,,,1944457,43529,0,0,2707.195641,60.60381847,0,0,9045325,174423,0,0,7779.867385,150.0209013,0,0
Denmark,17/11/2024,3443785,251,10010,5,High income,European Region,5854240,,588254.8375,1709.871819,42.87490776,0.854081828,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Djibouti,17/11/2024,15690,,189,,Lower middle income,Eastern Mediterranean Region,1105557,,14191.94126,170.9545505,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,23417911,351975,0,0,30756.04211,462.2683007,0,0
Dominica,17/11/2024,16047,,74,,Upper middle income,Region of the Americas,72412,,221606.916,1021.930067,,,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Dominican Republic,17/11/2024,661103,,4384,,Upper middle income,Region of the Americas,11117873,,59463.08255,394.3200287,,,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Ecuador,17/11/2024,1078844,17,36055,0,Upper middle income,Region of the Americas,17797737,,60616.92001,2025.81935,0.955177616,0,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Egypt,17/11/2024,516023,,24830,,Lower middle income,Eastern Mediterranean Region,109262178,,4722.796209,227.2515563,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,23417911,351975,0,0,30756.04211,462.2683007,0,0
El Salvador,17/11/2024,201964,2,4230,0,Upper middle income,Region of the Americas,6314167,,31985.85023,669.9220974,0.316748037,0,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
